order_id,customer_id,order_date,sales_channel,campaign,discount_rate,order_total,items,returned
O-0003745,C-00356,2025-08-06,online,trail-season,0.1,166.48,3,0
O-0003746,C-00356,2025-08-31,online,member-event,0.14,169.81,3,0
O-0003747,C-00356,2025-09-25,retail-store,member-event,0.06,204.12,3,0
O-0003748,C-00356,2025-10-21,online,always-on,0.18,225.01,5,0
O-0003749,C-00356,2025-11-08,online,trail-season,0.05,163.3,2,0
O-0003750,C-00356,2025-12-07,online,member-event,0.21,159.88,4,0
O-0003751,C-00356,2026-01-03,online,member-event,0.18,164.58,3,0
O-0003752,C-00356,2026-01-23,online,member-event,0.19,182.41,3,0
O-0003753,C-00356,2026-02-20,online,member-event,0.19,186.94,2,0
O-0003754,C-00356,2026-03-18,retail-store,cart-recovery,0.13,113.81,1,0
O-0003755,C-00356,2026-04-07,retail-store,member-event,0.07,194.99,2,0
O-0003756,C-00356,2026-05-06,online,winter-layering,0.16,216.28,3,0
O-0003757,C-00356,2026-05-30,online,cart-recovery,0.16,130.49,3,0
O-0003758,C-00356,2026-06-23,online,always-on,0.22,197.97,3,0
O-0003759,C-00357,2025-05-03,online,winter-layering,0.13,82.33,3,0
O-0003760,C-00357,2025-06-08,online,winter-layering,0.12,64.51,1,0
O-0003761,C-00357,2025-07-12,online,trail-season,0.1,73.12,2,0
O-0003762,C-00357,2025-08-18,retail-store,member-event,0.25,99.98,1,0
O-0003763,C-00357,2025-09-25,online,cart-recovery,0.2,88.2,2,0
O-0003764,C-00357,2025-10-28,online,trail-season,0.05,76.83,4,0
O-0003765,C-00357,2025-11-29,online,cart-recovery,0.11,96.45,2,0
O-0003766,C-00357,2026-01-07,online,winter-layering,0.13,114.86,2,0
O-0003767,C-00357,2026-02-11,online,winter-layering,0.21,96.33,2,0
O-0003768,C-00357,2026-03-18,retail-store,trail-season,0.12,81.91,4,0
O-0003769,C-00357,2026-04-26,online,cart-recovery,0.15,86.64,2,0
O-0003770,C-00357,2026-05-30,online,cart-recovery,0.24,70.93,1,0
O-0003771,C-00358,2024-07-26,online,cart-recovery,0.19,127.63,3,0
O-0003772,C-00358,2024-10-03,online,trail-season,0.3,88.61,1,0
O-0003773,C-00358,2024-12-04,online,member-event,0.24,120.57,2,0
O-0003774,C-00358,2025-02-11,online,always-on,0.26,89.89,1,0
O-0003775,C-00358,2025-04-18,online,always-on,0.24,103.96,2,0
O-0003776,C-00358,2025-06-23,online,cart-recovery,0.24,57.27,1,0
O-0003777,C-00358,2025-08-28,online,winter-layering,0.22,60.97,1,0
O-0003778,C-00358,2025-10-26,online,trail-season,0.2,48.3,1,0
O-0003779,C-00358,2026-01-06,online,trail-season,0.23,74.79,1,0
O-0003780,C-00358,2026-03-13,online,member-event,0.24,104.13,3,0
O-0003781,C-00358,2026-05-11,online,member-event,0.15,82.07,2,0
O-0003782,C-00359,2024-07-30,online,winter-layering,0.14,86.01,2,0
O-0003783,C-00359,2024-08-25,retail-store,member-event,0.15,165.31,3,0
O-0003784,C-00359,2024-09-24,online,always-on,0.21,187.56,3,0
O-0003785,C-00359,2024-10-24,online,always-on,0.09,121.11,1,1
O-0003786,C-00359,2024-11-26,online,trail-season,0.23,84.52,1,0
O-0003787,C-00359,2024-12-26,retail-store,always-on,0.25,69.62,2,0
O-0003788,C-00359,2025-01-22,online,member-event,0.23,91.1,1,0
O-0003789,C-00359,2025-02-17,retail-store,cart-recovery,0.24,75.41,2,0
O-0003790,C-00359,2025-03-21,online,trail-season,0.17,140.96,2,0
O-0003791,C-00359,2025-04-22,online,cart-recovery,0.13,158.96,1,0
O-0003792,C-00359,2025-05-23,online,cart-recovery,0.15,173.23,2,0
O-0003793,C-00359,2025-06-20,online,always-on,0.22,95.89,2,0
O-0003794,C-00359,2025-07-23,retail-store,always-on,0.17,149.62,3,0
O-0003795,C-00359,2025-08-22,online,cart-recovery,0.22,146.48,2,0
O-0003796,C-00359,2025-09-21,online,cart-recovery,0.29,193.54,4,0
O-0003797,C-00359,2025-10-15,online,always-on,0.16,153.93,1,0
O-0003798,C-00359,2025-11-17,online,member-event,0.24,130.63,3,0
O-0003799,C-00359,2025-12-15,online,always-on,0.24,169.41,2,0
O-0003800,C-00359,2026-01-19,retail-store,member-event,0.2,131.79,1,0
O-0003801,C-00359,2026-02-13,online,member-event,0.15,165.74,5,0
O-0003802,C-00359,2026-03-15,online,winter-layering,0.25,105.45,1,0
O-0003803,C-00359,2026-04-15,online,member-event,0.2,145.27,3,0
O-0003804,C-00359,2026-05-16,retail-store,always-on,0.19,108.76,3,0
O-0003805,C-00359,2026-06-11,online,always-on,0.17,46.75,1,0
O-0003806,C-00360,2025-03-05,online,always-on,0.44,79.33,3,0
O-0003807,C-00360,2025-05-19,online,winter-layering,0.35,62.83,1,0
O-0003808,C-00360,2025-07-28,online,trail-season,0.49,79.51,2,0
O-0003809,C-00360,2025-10-11,online,winter-layering,0.48,53.58,1,0
O-0003810,C-00360,2025-12-30,online,cart-recovery,0.55,54.24,1,0
O-0003811,C-00360,2026-03-11,online,trail-season,0.39,68.66,3,1
O-0003812,C-00361,2025-02-04,online,winter-layering,0.23,64.92,2,0
O-0003813,C-00361,2026-06-08,online,cart-recovery,0.23,46.17,1,0
O-0003814,C-00362,2025-05-02,online,always-on,0.19,76.28,1,0
O-0003815,C-00362,2025-06-30,retail-store,always-on,0.15,75.19,1,0
O-0003816,C-00362,2025-08-25,online,trail-season,0.23,86.5,1,0
O-0003817,C-00362,2025-10-19,online,always-on,0.25,71.37,1,0
O-0003818,C-00362,2025-12-13,online,member-event,0.18,83.47,2,0
O-0003819,C-00362,2026-02-11,online,member-event,0.21,66.9,1,0
O-0003820,C-00362,2026-04-08,retail-store,member-event,0.14,80.95,3,0
O-0003821,C-00362,2026-06-04,online,winter-layering,0.19,86.74,2,0
O-0003822,C-00363,2024-07-23,online,member-event,0,233.3,3,0
O-0003823,C-00363,2024-08-20,online,always-on,0,150.69,2,0
O-0003824,C-00363,2024-09-17,online,cart-recovery,0.01,203.56,5,0
O-0003825,C-00363,2024-10-05,online,winter-layering,0,181.81,1,0
O-0003826,C-00363,2024-11-06,online,always-on,0.06,141.2,3,0
O-0003827,C-00363,2024-12-03,online,trail-season,0,188.76,5,0
O-0003828,C-00363,2024-12-27,online,winter-layering,0,142.51,3,0
O-0003829,C-00363,2025-01-22,online,always-on,0,204.59,2,0
O-0003830,C-00363,2025-02-17,online,winter-layering,0.02,193.61,1,0
O-0003831,C-00363,2025-03-07,retail-store,cart-recovery,0,179.21,3,0
O-0003832,C-00363,2025-04-02,online,winter-layering,0.04,106.76,3,0
O-0003833,C-00363,2025-05-06,retail-store,winter-layering,0,159.36,1,0
O-0003834,C-00363,2025-05-26,online,member-event,0,87.79,1,0
O-0003835,C-00363,2025-06-27,online,trail-season,0,219.55,2,0
O-0003836,C-00363,2025-07-20,online,always-on,0.01,161.9,3,0
O-0003837,C-00363,2025-08-16,online,always-on,0,222.94,3,0
O-0003838,C-00363,2025-09-12,online,cart-recovery,0,155.61,2,0
O-0003839,C-00363,2025-10-09,online,winter-layering,0,117.31,2,0
O-0003840,C-00363,2025-11-03,online,member-event,0.04,206.89,2,0
O-0003841,C-00363,2025-11-26,online,winter-layering,0,120.73,2,0
O-0003842,C-00363,2025-12-20,retail-store,cart-recovery,0.03,120.85,2,0
O-0003843,C-00363,2026-01-15,online,always-on,0.02,189.32,3,0
O-0003844,C-00363,2026-02-11,retail-store,always-on,0,197.41,5,0
O-0003845,C-00363,2026-03-08,online,always-on,0,152.73,3,0
O-0003846,C-00363,2026-04-03,online,cart-recovery,0.05,182.99,4,0
O-0003847,C-00363,2026-04-29,online,trail-season,0,180.78,3,0
O-0003848,C-00363,2026-05-27,online,member-event,0.01,139.02,2,0
O-0003849,C-00363,2026-06-22,online,winter-layering,0,165.14,4,0
O-0003850,C-00364,2024-07-25,online,trail-season,0.42,80.02,1,0
O-0003851,C-00364,2024-11-12,online,trail-season,0.35,44.62,1,0
O-0003852,C-00364,2025-02-22,retail-store,trail-season,0.48,111.88,2,0
O-0003853,C-00364,2025-06-08,online,member-event,0.35,86.17,2,0
O-0003854,C-00364,2025-09-20,retail-store,trail-season,0.38,72.11,3,1
O-0003855,C-00364,2026-01-05,online,cart-recovery,0.37,84.89,1,0
O-0003856,C-00365,2026-04-29,online,cart-recovery,0.36,79.48,1,0
O-0003857,C-00365,2026-05-06,retail-store,winter-layering,0.32,85.96,2,0
O-0003858,C-00365,2026-05-12,online,cart-recovery,0.35,77.12,3,0
O-0003859,C-00365,2026-05-22,retail-store,always-on,0.31,93.19,3,0
O-0003860,C-00365,2026-05-25,online,member-event,0.38,63.81,1,0
O-0003861,C-00365,2026-06-06,retail-store,trail-season,0.31,94.04,3,0
O-0003862,C-00366,2024-11-06,online,cart-recovery,0.13,78.71,1,0
O-0003863,C-00366,2024-12-16,online,winter-layering,0.06,56.02,1,0
O-0003864,C-00366,2025-01-24,online,always-on,0.03,80.47,1,0
O-0003865,C-00366,2025-03-02,online,member-event,0.11,122.25,3,0
O-0003866,C-00366,2025-04-17,online,trail-season,0.08,95.22,3,0
O-0003867,C-00366,2025-05-28,retail-store,winter-layering,0.14,70.83,2,1
O-0003868,C-00366,2025-07-07,retail-store,trail-season,0.1,73.6,2,0
O-0003869,C-00366,2025-08-13,retail-store,always-on,0.09,45.01,1,0
O-0003870,C-00366,2025-09-24,online,trail-season,0.1,66.93,2,0
O-0003871,C-00366,2025-11-05,online,member-event,0.1,92.06,3,0
O-0003872,C-00366,2025-12-17,online,trail-season,0.18,72.48,1,0
O-0003873,C-00366,2026-01-21,retail-store,winter-layering,0.2,63.09,2,0
O-0003874,C-00366,2026-03-09,online,always-on,0.09,93.88,1,0
O-0003875,C-00366,2026-04-15,online,cart-recovery,0.08,120.93,4,0
O-0003876,C-00366,2026-05-29,retail-store,winter-layering,0.09,72.61,3,0
O-0003877,C-00367,2024-07-29,online,cart-recovery,0.16,97.19,1,0
O-0003878,C-00367,2024-09-04,online,member-event,0.21,72.15,1,0
O-0003879,C-00367,2024-10-13,online,cart-recovery,0.2,67.58,1,0
O-0003880,C-00367,2024-11-18,online,trail-season,0.12,93.11,1,0
O-0003881,C-00367,2025-01-02,retail-store,member-event,0.18,81.31,1,0
O-0003882,C-00367,2025-02-10,retail-store,winter-layering,0.13,86.29,1,0
O-0003883,C-00367,2025-03-23,online,cart-recovery,0.21,96.4,1,1
O-0003884,C-00367,2025-05-02,online,member-event,0.1,102.92,1,1
O-0003885,C-00367,2025-06-10,online,winter-layering,0.17,78.91,1,0
O-0003886,C-00367,2025-07-18,online,cart-recovery,0.21,98.08,1,1
O-0003887,C-00367,2025-08-28,online,winter-layering,0.16,100.55,2,0
O-0003888,C-00367,2025-10-07,online,cart-recovery,0.17,66.48,3,0
O-0003889,C-00367,2025-11-12,online,member-event,0.15,67.78,1,0
O-0003890,C-00367,2025-12-23,online,trail-season,0.26,127.03,1,0
O-0003891,C-00367,2026-01-27,online,winter-layering,0.15,106.05,2,0
O-0003892,C-00367,2026-03-10,online,trail-season,0.16,77.52,2,1
O-0003893,C-00367,2026-04-21,online,member-event,0.13,66.25,2,1
O-0003894,C-00367,2026-05-31,online,winter-layering,0.29,62.42,1,0
O-0003895,C-00368,2024-07-30,online,trail-season,0.27,91.87,3,0
O-0003896,C-00368,2024-12-14,online,member-event,0.2,49.12,2,0
O-0003897,C-00368,2025-05-04,online,winter-layering,0.2,49.88,3,0
O-0003898,C-00368,2025-09-22,retail-store,winter-layering,0.21,90.14,1,1
O-0003899,C-00368,2026-02-10,online,winter-layering,0.35,47.85,1,0
O-0003900,C-00369,2026-01-26,online,trail-season,0.18,39.05,1,0
O-0003901,C-00369,2026-03-08,online,always-on,0.36,70.04,2,0
O-0003902,C-00369,2026-04-16,online,always-on,0.29,61.8,1,0
O-0003903,C-00369,2026-05-25,retail-store,trail-season,0.33,85.19,1,0
O-0003904,C-00370,2024-07-28,online,member-event,0.07,131.73,2,0
O-0003905,C-00370,2024-09-01,retail-store,cart-recovery,0.08,99.05,3,0
O-0003906,C-00370,2024-10-11,retail-store,winter-layering,0.11,166.48,2,0
O-0003907,C-00370,2024-11-18,online,cart-recovery,0.14,106.57,2,0
O-0003908,C-00370,2024-12-20,online,always-on,0.18,102.82,2,0
O-0003909,C-00370,2025-02-01,retail-store,winter-layering,0.09,143.52,4,0
O-0003910,C-00370,2025-03-09,online,member-event,0.19,141.41,3,1
O-0003911,C-00370,2025-04-18,online,member-event,0.14,142.07,1,0
O-0003912,C-00370,2025-05-21,online,winter-layering,0.15,94.42,1,0
O-0003913,C-00370,2025-07-02,online,always-on,0.05,114.43,2,0
O-0003914,C-00370,2025-08-10,online,winter-layering,0.18,88.54,3,0
O-0003915,C-00370,2025-09-09,online,member-event,0.12,124.06,1,0
O-0003916,C-00370,2025-10-22,online,winter-layering,0.17,84.89,1,0
O-0003917,C-00370,2025-11-26,retail-store,cart-recovery,0.11,129.33,3,0
O-0003918,C-00370,2026-01-03,online,winter-layering,0.09,99.19,3,0
O-0003919,C-00370,2026-02-11,online,member-event,0.16,96.78,1,0
O-0003920,C-00370,2026-03-22,online,trail-season,0.1,110.37,4,0
O-0003921,C-00370,2026-04-29,online,trail-season,0.18,143.66,2,0
O-0003922,C-00370,2026-06-06,online,always-on,0.17,122.4,3,0
O-0003923,C-00371,2024-09-28,online,always-on,0.19,80.56,1,0
O-0003924,C-00371,2025-02-03,online,trail-season,0.31,74.29,1,0
O-0003925,C-00371,2025-06-07,online,trail-season,0.32,84.67,2,0
O-0003926,C-00371,2025-10-03,online,always-on,0.27,56.08,2,1
O-0003927,C-00371,2026-02-08,online,member-event,0.22,53.93,1,0
O-0003928,C-00372,2025-01-03,online,winter-layering,0.08,78.16,2,1
O-0003929,C-00372,2025-02-16,online,always-on,0.13,69.27,2,0
O-0003930,C-00372,2025-04-07,online,cart-recovery,0.19,79.47,1,1
O-0003931,C-00372,2025-05-19,online,cart-recovery,0.17,85.2,1,0
O-0003932,C-00372,2025-07-06,online,cart-recovery,0.05,88.17,2,0
O-0003933,C-00372,2025-08-21,retail-store,member-event,0.1,112.68,1,0
O-0003934,C-00372,2025-10-04,online,cart-recovery,0.21,91.64,1,0
O-0003935,C-00372,2025-11-19,online,member-event,0.18,47.83,3,1
O-0003936,C-00372,2026-01-06,online,member-event,0.09,81.7,1,0
O-0003937,C-00372,2026-02-13,retail-store,always-on,0.1,76.13,2,0
O-0003938,C-00372,2026-04-08,online,cart-recovery,0.07,68.78,2,0
O-0003939,C-00372,2026-05-17,online,member-event,0.07,89.81,2,0
O-0003940,C-00373,2024-07-30,retail-store,member-event,0.29,59.57,2,0
O-0003941,C-00373,2024-11-02,retail-store,cart-recovery,0.3,52.87,2,0
O-0003942,C-00373,2025-02-08,online,trail-season,0.25,67.55,2,1
O-0003943,C-00373,2025-05-10,online,member-event,0.39,73.27,2,0
O-0003944,C-00373,2025-08-19,online,member-event,0.22,46.6,1,0
O-0003945,C-00373,2025-11-22,online,member-event,0.18,51.21,1,0
O-0003946,C-00373,2026-03-01,online,member-event,0.3,88.08,1,0
O-0003947,C-00374,2024-11-04,online,trail-season,0.45,83.06,3,0
O-0003948,C-00374,2025-02-13,online,winter-layering,0.58,60.67,2,0
O-0003949,C-00374,2025-05-20,online,trail-season,0.5,95.04,2,0
O-0003950,C-00374,2025-08-23,retail-store,always-on,0.45,63.01,1,0
O-0003951,C-00374,2025-12-03,online,member-event,0.41,69.73,2,1
O-0003952,C-00374,2026-03-10,online,member-event,0.51,52.37,1,1
O-0003953,C-00375,2024-07-29,retail-store,cart-recovery,0.18,86.43,1,0
O-0003954,C-00375,2024-09-17,online,cart-recovery,0.19,60.81,2,1
O-0003955,C-00375,2024-11-15,online,trail-season,0.13,87.52,1,0
O-0003956,C-00375,2025-01-11,online,cart-recovery,0.2,78.87,1,0
O-0003957,C-00375,2025-03-07,online,member-event,0.2,72.4,1,1
O-0003958,C-00375,2025-05-01,retail-store,winter-layering,0.1,67.85,1,0
O-0003959,C-00375,2025-06-25,online,trail-season,0.16,94,2,0
O-0003960,C-00375,2025-08-19,retail-store,member-event,0.21,59.29,1,0
O-0003961,C-00375,2025-10-11,online,winter-layering,0.15,88.82,1,0
O-0003962,C-00375,2025-12-02,retail-store,always-on,0.16,94.65,1,0
O-0003963,C-00375,2026-01-30,online,trail-season,0.19,56.99,1,1
O-0003964,C-00375,2026-03-29,online,cart-recovery,0.16,94.97,1,0
O-0003965,C-00375,2026-05-23,online,winter-layering,0.15,97.89,2,0
O-0003966,C-00376,2024-07-25,retail-store,winter-layering,0.32,84.26,1,1
O-0003967,C-00376,2024-10-06,online,always-on,0.35,80.73,1,0
O-0003968,C-00376,2024-12-19,online,trail-season,0.42,89.91,4,0
O-0003969,C-00376,2025-03-09,online,always-on,0.28,74.55,1,0
O-0003970,C-00376,2025-05-15,online,trail-season,0.25,60.78,1,0
O-0003971,C-00376,2025-08-09,online,trail-season,0.28,79.34,3,0
O-0003972,C-00376,2025-10-21,online,always-on,0.36,81.4,2,0
O-0003973,C-00376,2026-01-05,online,member-event,0.34,57.98,1,0
O-0003974,C-00377,2025-12-28,online,trail-season,0.36,51.51,2,0
O-0003975,C-00377,2026-01-30,retail-store,member-event,0.31,76.66,2,0
O-0003976,C-00377,2026-03-04,online,winter-layering,0.34,61.58,2,0
O-0003977,C-00377,2026-04-04,online,winter-layering,0.39,71.84,2,0
O-0003978,C-00377,2026-05-03,online,member-event,0.31,49.92,1,0
O-0003979,C-00377,2026-06-04,retail-store,cart-recovery,0.38,96.9,4,0
O-0003980,C-00378,2024-07-27,online,always-on,0.08,184.24,2,0
O-0003981,C-00378,2024-08-25,online,trail-season,0.08,161.03,3,0
O-0003982,C-00378,2024-09-13,retail-store,always-on,0,163.43,3,0
O-0003983,C-00378,2024-10-08,online,cart-recovery,0.03,167.64,4,0
O-0003984,C-00378,2024-11-08,retail-store,member-event,0,244.16,4,0
O-0003985,C-00378,2024-12-03,online,member-event,0.04,227.06,4,0
O-0003986,C-00378,2024-12-31,online,trail-season,0,181.51,2,0
O-0003987,C-00378,2025-01-16,online,always-on,0.03,183.2,4,0
O-0003988,C-00378,2025-02-13,retail-store,member-event,0,210.85,4,0
O-0003989,C-00378,2025-03-18,retail-store,winter-layering,0,138.55,3,0
O-0003990,C-00378,2025-04-13,online,trail-season,0.04,194.8,4,0
O-0003991,C-00378,2025-05-06,online,cart-recovery,0.04,186.13,4,0
O-0003992,C-00378,2025-06-03,online,trail-season,0,140.55,2,0
O-0003993,C-00378,2025-06-28,online,winter-layering,0,138.82,3,0
O-0003994,C-00378,2025-07-25,online,member-event,0,194.09,4,0
O-0003995,C-00378,2025-08-15,online,always-on,0,168.97,3,1
O-0003996,C-00378,2025-09-15,online,member-event,0.04,123.91,1,0
O-0003997,C-00378,2025-10-04,online,cart-recovery,0.06,170.72,4,0
O-0003998,C-00378,2025-11-05,online,cart-recovery,0.05,138.88,3,0
O-0003999,C-00378,2025-11-30,retail-store,member-event,0.06,174.03,3,0
O-0004000,C-00378,2025-12-25,online,winter-layering,0.05,187.96,3,0
O-0004001,C-00378,2026-01-18,online,winter-layering,0.05,146.93,2,0
O-0004002,C-00378,2026-02-13,online,trail-season,0.04,201.14,4,0
O-0004003,C-00378,2026-03-14,online,member-event,0.02,98.64,1,0
O-0004004,C-00378,2026-04-07,online,cart-recovery,0.03,118.66,3,0
O-0004005,C-00378,2026-05-04,online,member-event,0,129.12,3,0
O-0004006,C-00378,2026-05-30,retail-store,member-event,0,89.94,1,0
O-0004007,C-00378,2026-06-21,online,winter-layering,0,249.09,4,0
O-0004008,C-00379,2024-07-28,online,winter-layering,0.29,76.43,1,0
O-0004009,C-00379,2024-11-06,online,member-event,0.25,108.4,2,1
O-0004010,C-00379,2025-02-27,online,member-event,0.29,75.78,1,0
O-0004011,C-00379,2025-06-13,online,member-event,0.29,78.27,4,0
O-0004012,C-00379,2025-10-04,online,winter-layering,0.29,79.63,1,1
O-0004013,C-00379,2026-01-22,retail-store,winter-layering,0.28,110.8,3,0
O-0004014,C-00379,2026-05-10,online,always-on,0.34,53.08,1,0
O-0004015,C-00380,2024-07-27,online,trail-season,0.01,169.98,3,0
O-0004016,C-00380,2024-08-21,online,trail-season,0.04,160.56,4,0
O-0004017,C-00380,2024-09-10,online,trail-season,0.14,186.77,3,0
O-0004018,C-00380,2024-10-05,online,member-event,0.08,137.39,1,0
O-0004019,C-00380,2024-10-30,online,cart-recovery,0.08,120.3,2,0
O-0004020,C-00380,2024-11-22,retail-store,always-on,0.05,133.38,2,0
O-0004021,C-00380,2024-12-18,online,cart-recovery,0.08,221.03,4,0
O-0004022,C-00380,2025-01-11,retail-store,winter-layering,0.06,193.37,2,1
O-0004023,C-00380,2025-02-04,online,always-on,0.14,128.7,4,0
O-0004024,C-00380,2025-03-01,online,member-event,0.1,170.88,3,0
O-0004025,C-00380,2025-03-19,retail-store,trail-season,0.06,133.74,2,0
O-0004026,C-00380,2025-04-14,online,member-event,0.12,186.88,2,0
O-0004027,C-00380,2025-05-10,online,winter-layering,0.11,172.38,3,0
O-0004028,C-00380,2025-05-30,online,winter-layering,0.07,149.19,2,0
O-0004029,C-00380,2025-06-25,retail-store,winter-layering,0,175.82,3,0
O-0004030,C-00380,2025-07-20,online,cart-recovery,0.02,216.23,4,0
O-0004031,C-00380,2025-08-09,online,winter-layering,0.12,162.33,2,0
O-0004032,C-00380,2025-09-07,online,cart-recovery,0.04,213.75,4,0
O-0004033,C-00380,2025-09-29,online,always-on,0.12,135.91,2,0
O-0004034,C-00380,2025-10-22,online,member-event,0.06,162.57,2,0
O-0004035,C-00380,2025-11-17,online,member-event,0,173.35,5,0
O-0004036,C-00380,2025-12-08,retail-store,cart-recovery,0,73.73,3,0
O-0004037,C-00380,2025-12-31,online,member-event,0.03,118.18,1,0
O-0004038,C-00380,2026-01-26,online,always-on,0.09,120.12,2,0
O-0004039,C-00380,2026-02-20,retail-store,always-on,0.07,191.53,1,0
O-0004040,C-00380,2026-03-15,online,trail-season,0.13,235.93,3,0
O-0004041,C-00380,2026-04-07,retail-store,trail-season,0.05,159.48,4,0
O-0004042,C-00380,2026-04-28,retail-store,cart-recovery,0.05,115.09,3,0
O-0004043,C-00380,2026-05-22,retail-store,cart-recovery,0.1,173.83,3,0
O-0004044,C-00380,2026-06-19,online,winter-layering,0.06,164.64,3,0
O-0004045,C-00381,2024-08-30,retail-store,member-event,0.3,101.12,1,0
O-0004046,C-00381,2024-11-17,online,winter-layering,0.11,101.24,2,0
O-0004047,C-00381,2025-01-21,online,always-on,0.22,91.59,3,0
O-0004048,C-00381,2025-03-29,online,cart-recovery,0.28,77.45,2,0
O-0004049,C-00381,2025-06-07,online,member-event,0.21,41.77,1,0
O-0004050,C-00381,2025-08-23,online,trail-season,0.19,110.3,1,0
O-0004051,C-00381,2025-10-31,online,always-on,0.27,101.92,1,0
O-0004052,C-00381,2026-01-11,online,winter-layering,0.27,89.37,4,0
O-0004053,C-00381,2026-03-23,retail-store,cart-recovery,0.22,89.67,1,0
O-0004054,C-00381,2026-06-01,online,trail-season,0.21,86.9,2,0
O-0004055,C-00382,2025-08-31,online,winter-layering,0.28,85.89,3,0
O-0004056,C-00382,2025-11-11,online,cart-recovery,0.22,64.41,1,1
O-0004057,C-00382,2026-01-18,online,trail-season,0.26,63.92,1,0
O-0004058,C-00382,2026-03-30,online,cart-recovery,0.2,80.97,1,0
O-0004059,C-00382,2026-06-06,retail-store,always-on,0.33,66.14,1,0
O-0004060,C-00383,2024-07-24,online,cart-recovery,0.07,97.29,3,1
O-0004061,C-00383,2024-09-13,retail-store,member-event,0.05,107.19,1,0
O-0004062,C-00383,2024-11-09,online,winter-layering,0.14,73.92,1,0
O-0004063,C-00383,2024-12-25,retail-store,always-on,0.21,103.97,1,0
O-0004064,C-00383,2025-02-20,online,member-event,0.1,81.97,1,0
O-0004065,C-00383,2025-04-10,online,winter-layering,0.11,69.98,1,0
O-0004066,C-00383,2025-05-31,retail-store,always-on,0.09,80.61,2,0
O-0004067,C-00383,2025-07-24,online,trail-season,0.11,79.58,2,0
O-0004068,C-00383,2025-09-08,online,trail-season,0.16,35.02,1,0
O-0004069,C-00383,2025-11-02,online,always-on,0.18,91.67,1,0
O-0004070,C-00383,2025-12-24,online,member-event,0.05,86.88,2,0
O-0004071,C-00383,2026-02-13,online,always-on,0.13,82.6,4,0
O-0004072,C-00383,2026-03-31,online,member-event,0.17,90.32,1,0
O-0004073,C-00383,2026-05-27,online,member-event,0.12,74.55,2,0
O-0004074,C-00384,2024-07-29,retail-store,always-on,0.3,82.56,1,0
O-0004075,C-00384,2024-10-31,retail-store,member-event,0.42,68.02,2,0
O-0004076,C-00384,2025-02-08,retail-store,trail-season,0.22,82.68,1,0
O-0004077,C-00384,2025-05-11,online,winter-layering,0.33,83.82,1,0
O-0004078,C-00384,2025-08-21,retail-store,always-on,0.35,68.07,2,0
O-0004079,C-00384,2025-11-22,online,always-on,0.33,78.27,1,0
O-0004080,C-00384,2026-02-26,online,cart-recovery,0.31,65.57,2,0
O-0004081,C-00385,2024-08-05,retail-store,winter-layering,0.06,119.31,4,0
O-0004082,C-00385,2024-09-18,online,winter-layering,0.05,157.16,3,0
O-0004083,C-00385,2024-10-28,retail-store,cart-recovery,0.05,175.71,2,0
O-0004084,C-00385,2024-12-07,retail-store,trail-season,0.02,104.45,1,0
O-0004085,C-00385,2025-01-18,online,winter-layering,0.1,172.46,2,0
O-0004086,C-00385,2025-02-28,retail-store,member-event,0,137.15,3,0
O-0004087,C-00385,2025-04-11,online,cart-recovery,0,111.55,4,0
O-0004088,C-00385,2025-05-17,retail-store,always-on,0.04,123.85,2,0
O-0004089,C-00385,2025-07-05,retail-store,always-on,0.02,141.19,3,0
O-0004090,C-00385,2025-08-16,retail-store,winter-layering,0.03,120.97,1,0
O-0004091,C-00385,2025-09-25,retail-store,cart-recovery,0.07,148.64,4,0
O-0004092,C-00385,2025-11-05,online,winter-layering,0.02,126.21,3,0
O-0004093,C-00385,2025-12-16,online,winter-layering,0,165.65,1,0
O-0004094,C-00385,2026-01-26,online,member-event,0.03,154.88,4,0
O-0004095,C-00385,2026-03-10,online,member-event,0.09,105.65,2,0
O-0004096,C-00385,2026-04-21,online,cart-recovery,0.06,154,3,0
O-0004097,C-00385,2026-05-24,retail-store,member-event,0,129.22,2,0
O-0004098,C-00386,2024-07-28,online,member-event,0.05,137.1,2,0
O-0004099,C-00386,2024-09-18,retail-store,winter-layering,0.1,168.02,3,0
O-0004100,C-00386,2024-11-19,online,winter-layering,0.01,138.79,2,0
O-0004101,C-00386,2025-01-14,online,cart-recovery,0.05,136.97,5,1
O-0004102,C-00386,2025-03-10,retail-store,always-on,0,161.81,2,0
O-0004103,C-00386,2025-05-04,online,trail-season,0.11,95.54,1,0
O-0004104,C-00386,2025-07-01,retail-store,winter-layering,0.09,106.08,3,0
O-0004105,C-00386,2025-08-27,online,cart-recovery,0.03,161.93,2,0
O-0004106,C-00386,2025-10-20,online,member-event,0.05,66.72,1,0
O-0004107,C-00386,2025-12-18,online,cart-recovery,0.04,210.36,3,1
O-0004108,C-00386,2026-02-11,online,always-on,0.11,96.14,1,0
O-0004109,C-00386,2026-03-30,online,winter-layering,0.03,145.58,2,0
O-0004110,C-00386,2026-06-02,retail-store,trail-season,0.11,117.01,3,0
O-0004111,C-00387,2024-12-04,online,trail-season,0.07,127.14,1,0
O-0004112,C-00387,2025-01-11,online,member-event,0.21,153.7,2,0
O-0004113,C-00387,2025-02-16,online,winter-layering,0.11,147.37,3,0
O-0004114,C-00387,2025-03-26,retail-store,cart-recovery,0.07,157.79,3,0
